43
1
55 
1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 75 75 75 75 75 75 75 10 25 30 10 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 1 2 7 4.5
0 1 2 8 9
0 1 2 9 4
0 1 2 10 1.5
0 1 3 7 6.5
0 1 3 8 11
0 1 3 9 6
0 1 3 10 3.5
0 1 4 11 7
0 1 4 12 11.5
0 1 4 13 6.5
0 1 4 14 4
0 1 5 11 3
0 1 5 12 7.5
0 1 5 13 2.5
0 1 6 11 5.5
0 1 6 12 10
0 1 6 13 5
0 1 6 14 2.5
1 1 1 1 1
2 1 1 2 0.5
2 1 1 3 0.5
3 1 1 4 0.5
3 1 1 5 0.5
3 1 1 6 0.5
4 1 2 7 -1
4 1 3 7 0.5
4 1 4 11 0.5
4 1 6 11 -1
4 1 15 15 1
5 1 2 7 1.5
5 1 3 7 -1
5 1 4 11 1.25
5 1 6 11 -0.15
5 1 16 16 1
6 1 2 7 0.375
6 1 3 7 -0.125
6 1 4 11 -0.125
6 1 5 11 -0.125
6 1 6 11 0.375
6 1 17 17 1
7 1 2 7 -0.125
7 1 3 7 0.625
7 1 4 11 0.075
7 1 5 11 0.125
7 1 6 11 0.425
7 1 18 18 1
8 1 2 8 -1.5
8 1 5 12 -0.5
8 1 6 12 -1.5
8 1 19 19 1
9 1 2 8 1.75
9 1 3 8 -0.75
9 1 4 12 1.5
9 1 5 12 0.25
9 1 6 12 0.1
9 1 20 20 1
10 1 2 8 0.25
10 1 3 8 -0.25
10 1 4 12 -0.25
10 1 5 12 -0.25
10 1 6 12 0.25
10 1 21 21 1
11 1 2 8 -0.5
11 1 3 8 0.25
11 1 4 12 -0.3
11 1 5 12 -0.25
11 1 6 12 0.05
11 1 22 22 1
12 1 2 9 -0.25
12 1 3 9 1.25
12 1 4 13 1.25
12 1 5 13 0.75
12 1 6 13 -0.25
12 1 23 23 1
13 1 2 9 0.25
13 1 3 9 -2.25
13 1 5 13 -1.25
13 1 6 13 -1.4
13 1 24 24 1
14 1 2 9 0.05
14 1 3 9 -0.45
14 1 4 13 -0.45
14 1 5 13 -0.45
14 1 6 13 0.05
14 1 25 25 1
15 1 2 9 -0.15
15 1 3 9 0.6
15 1 4 13 0.05
15 1 5 13 0.1
15 1 6 13 0.4
15 1 26 26 1
16 1 2 10 -1
16 1 3 10 0.5
16 1 4 14 0.5
16 1 6 14 -1
16 1 27 27 1
17 1 2 10 1
17 1 3 10 -1.5
17 1 4 14 0.75
17 1 5 14 -0.5
17 1 6 14 -0.65
17 1 28 28 1
18 1 3 10 -0.5
18 1 4 14 -0.5
18 1 5 14 -0.5
18 1 29 29 1
19 1 2 10 -0.65
19 1 3 10 0.1
19 1 4 14 -0.45
19 1 5 14 -0.4
19 1 6 14 -0.1
19 1 30 30 1
20 1 2 7 0.5
20 1 2 8 0.5
20 1 2 9 0.5
20 1 2 10 0.5
20 1 31 31 1
21 1 3 7 0.5
21 1 3 8 0.5
21 1 3 9 0.5
21 1 3 10 0.5
21 1 32 32 1
22 1 4 11 0.5
22 1 4 12 0.5
22 1 4 13 0.5
22 1 4 14 0.5
22 1 33 33 1
23 1 5 11 0.5
23 1 5 12 0.5
23 1 5 13 0.5
23 1 5 14 0.5
23 1 34 34 1
24 1 6 11 0.5
24 1 6 12 0.5
24 1 6 13 0.5
24 1 6 14 0.5
24 1 35 35 1
25 1 1 7 0.5
25 1 1 8 0.5
25 1 1 9 0.5
25 1 1 10 0.5
25 1 36 36 1
26 1 1 11 0.5
26 1 1 12 0.5
26 1 1 13 0.5
26 1 1 14 0.5
26 1 37 37 1
27 1 1 7 0.5
27 1 1 11 0.5
27 1 38 38 1
28 1 1 8 0.5
28 1 1 12 0.5
28 1 39 39 1
29 1 1 9 0.5
29 1 1 13 0.5
29 1 40 40 1
30 1 1 10 0.5
30 1 1 14 0.5
30 1 41 41 1
31 1 1 2 0.5
31 1 42 42 -1
32 1 1 3 0.5
32 1 43 43 -1
33 1 1 4 0.5
33 1 44 44 -1
34 1 1 5 0.5
34 1 45 45 -1
35 1 1 6 0.5
35 1 46 46 -1
36 1 1 7 0.5
36 1 47 47 -1
37 1 1 8 0.5
37 1 48 48 -1
38 1 1 9 0.5
38 1 49 49 -1
39 1 1 10 0.5
39 1 50 50 -1
40 1 1 11 0.5
40 1 51 51 -1
41 1 1 12 0.5
41 1 52 52 -1
42 1 1 13 0.5
42 1 53 53 -1
43 1 1 14 0.5
43 1 54 54 -1
