45 24
c 0 21 28
c 0 24 28
c 0 25 28
c 0 27 28
c 0 34 -17
c 0 38 -15
c 0 40 -21
c 0 42 -21
c 0 43 -15
c 1 20 13
c 1 23 13
c 1 25 13
c 1 35 -31
c 1 36 -35
c 1 39 -29
c 2 20 43
c 2 26 43
c 2 29 43
c 2 30 -5
c 2 33 -6
c 2 37 -4
c 2 40 -6
c 3 22 49
c 3 23 49
c 3 25 49
c 3 26 49
c 3 31 1
c 3 35 5
c 4 20 45
c 4 21 45
c 4 23 45
c 4 26 45
c 4 27 45
c 4 28 45
c 4 29 45
c 4 33 -4
c 4 39 3
c 4 40 -4
c 5 26 34
c 5 27 34
c 5 35 -10
c 5 38 -9
c 5 40 -15
c 5 44 -15
c 6 20 30
c 6 22 30
c 6 26 30
c 6 27 30
c 6 28 30
c 6 31 -18
c 6 33 -19
c 6 34 -15
c 6 43 -13
c 7 24 40
c 7 25 40
c 7 26 40
c 7 28 40
c 7 29 40
c 7 33 -9
c 7 35 -4
c 7 37 -7
c 8 21 26
c 8 22 26
c 8 23 26
c 8 25 26
c 8 26 26
c 8 28 26
c 8 29 26
c 8 31 -22
c 8 37 -21
c 8 39 -16
c 9 27 47
c 9 34 2
c 10 23 12
c 10 25 12
c 10 26 12
c 10 27 12
c 10 34 -33
c 10 35 -32
c 10 37 -35
c 10 40 -37
c 10 42 -37
c 11 24 40
c 11 26 40
c 11 29 40
c 11 31 -8
c 11 32 -5
c 11 34 -5
c 11 35 -4
c 11 40 -9
c 11 43 -3
c 11 44 -9
c 12 21 27
c 12 22 27
c 12 23 27
c 12 24 27
c 12 26 27
c 12 29 27
c 12 30 -21
c 13 21 38
c 13 23 38
c 13 25 38
c 13 26 38
c 13 27 38
c 13 31 -10
c 13 33 -11
c 13 35 -6
c 13 38 -5
c 13 39 -4
c 13 43 -5
c 13 44 -11
c 14 20 50
c 14 23 50
c 14 24 50
c 14 25 50
c 14 31 2
c 14 32 5
c 14 39 8
c 14 41 1
c 14 44 1
